"author fan count","original message","original message sentiment","original message received timestamp","response timestamp","response time (minutes)"
"","hey","neutral","2022-06-13 16:32:58","2022-06-13 16:33:27","0"
"","hey","neutral","2022-06-13 16:32:58","2022-06-13 16:33:27","0"
"","hey","neutral","2022-06-13 16:32:58","2022-06-13 16:33:28","0"
"","hey","neutral","2022-06-13 16:32:58","2022-06-13 16:33:28","0"
"","hey","neutral","2022-06-13 16:32:58","2022-06-13 16:33:29","0"
"","hey","neutral","2022-06-13 16:32:58","2022-06-13 16:33:29","0"
"","hey","neutral","2022-06-13 16:32:58","2022-06-13 16:33:30","0"
"","hey","neutral","2022-06-13 16:32:58","2022-06-13 16:33:30","0"
"","hey","neutral","2022-06-13 16:32:58","2022-06-13 16:33:30","0"
"","Working hours","positive","2022-06-13 16:33:23","2022-06-13 16:33:25","0"
"","Working hours","positive","2022-06-13 16:33:23","2022-06-13 16:33:33","0"
"","Working hours","positive","2022-06-13 16:33:23","2022-06-13 16:33:34","0"
"","Working hours","positive","2022-06-13 16:33:23","2022-06-13 16:33:34","0"
"","Working hours","positive","2022-06-13 16:33:23","2022-06-13 16:33:35","0"
"","Working hours","positive","2022-06-13 16:33:23","2022-06-13 16:33:38","0"
"","Working hours","positive","2022-06-13 16:33:23","2022-06-13 16:33:40","0"
"","Working hours","positive","2022-06-13 16:33:23","2022-06-13 16:33:41","0"
"","Working hours","positive","2022-06-13 16:33:23","2022-06-13 16:33:42","0"
"","Working hours","positive","2022-06-13 16:33:23","2022-06-13 16:33:43","0"
"","Working hours","positive","2022-06-13 16:33:23","2022-06-13 16:33:43","0"
"","Working hours","positive","2022-06-13 16:33:23","2022-06-13 16:33:31","0"
"","Working hours","positive","2022-06-13 16:33:23","2022-06-13 16:33:31","0"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-13 16:33:32","0"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-23 07:51:47","13878"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-23 07:51:47","13878"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-23 07:51:47","13878"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-23 07:51:47","13878"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-23 07:51:47","13878"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-23 07:51:47","13878"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-23 07:51:47","13878"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-23 07:51:47","13878"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-23 07:51:47","13878"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-23 07:50:27","13876"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-23 07:51:47","13878"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-13 16:33:44","0"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-23 07:51:47","13878"
"","coffee","neutral","2022-06-13 16:33:30","2022-06-16 15:38:44","4265"
"","hey","neutral","2022-06-02 16:01:54","2022-06-16 15:38:45","20136"
"","Topic-28thFeb","neutral","2022-05-23 15:32:30","2022-06-16 15:38:47","34566"
"","coffee","neutral","2022-05-02 16:51:16","2022-06-16 15:38:49","64727"
"","Working hours","positive","2022-04-18 16:33:33","2022-06-16 15:38:50","84905"
"","Hello","neutral","2022-04-04 15:49:03","2022-06-16 15:38:52","105109"
"","Working hours","positive","2022-03-28 15:12:53","2022-06-16 15:38:54","115226"
"","what time are you open ?","neutral","2022-03-21 16:56:30","2022-06-16 15:38:55","125202"
"","what time ?","neutral","2022-03-14 16:48:16","2022-06-16 15:38:57","135290"
"","time","neutral","2022-03-03 17:04:24","2022-06-16 15:38:58","151114"
"","time","neutral","2022-02-28 17:08:20","2022-06-16 15:38:59","155430"
"","time","neutral","2022-02-04 12:04:19","2022-06-16 15:39:00","190294"
"","time","neutral","2022-02-04 11:35:17","2022-06-16 15:39:01","190323"
"","hi","neutral","2021-10-27 15:37:02","2022-06-23 15:47:19","344170"
"","Cool glasses","positive","2021-10-28 08:04:16","",""
"","edit checked","neutral","2021-12-17 04:51:25","",""
"","Good post","positive","2022-02-14 17:24:49","",""
"","hey","neutral","2022-06-23 15:47:09","2022-06-23 15:47:13","0"
"","hey","neutral","2022-06-23 15:47:09","2022-06-23 15:47:18","0"
"","hey","neutral","2022-06-23 15:47:09","2022-06-23 15:47:19","0"
"","hey","neutral","2022-06-23 15:47:09","2022-06-23 15:47:19","0"
"","hey","neutral","2022-06-23 15:47:09","2022-06-23 15:47:20","0"
"","hey","neutral","2022-06-23 15:47:09","2022-06-23 15:47:16","0"
"","hey","neutral","2022-06-23 15:47:09","2022-06-23 15:47:17","0"
"","Topic-28thFeb","neutral","2022-06-23 15:47:15","2022-06-23 15:47:18","0"
"","Topic-28thFeb","neutral","2022-06-23 15:47:15","2022-06-23 15:47:22","0"
"","Topic-28thFeb","neutral","2022-06-23 15:47:15","2022-06-23 15:47:22","0"
"","Topic-28thFeb","neutral","2022-06-23 15:47:15","2022-06-23 15:47:22","0"
"","Topic-28thFeb","neutral","2022-06-23 15:47:15","2022-06-23 15:47:22","0"
"","Topic-28thFeb","neutral","2022-06-23 15:47:15","2022-06-23 15:47:23","0"
"","Topic-28thFeb","neutral","2022-06-23 15:47:15","2022-06-23 15:47:23","0"
"","Topic-28thFeb","neutral","2022-06-23 15:47:15","2022-06-23 15:47:23","0"
"","Topic-28thFeb","neutral","2022-06-23 15:47:15","2022-06-23 15:47:24","0"
